metadata_file,attack,epsilon,alpha,steps,only_initial_rejects,samples,accepted_before_rate,accepted_after_rate,target_accept_rate_after_attack,success_from_reject_rate,avg_similarity_before,avg_similarity_after,avg_similarity_gain,avg_l2,avg_linf,avg_time_sec
outputs/verification_attacks_facenet/pgd_plain_s20/metadata_targeted_pgd_facenet_adaptive_none_eps0.005_s20.csv,targeted_pgd_facenet_adaptive_none,0.005,0.001,20,True,100,0.0,0.48,0.48,0.48,0.13437566051259636,0.44408630445599556,0.3097106439433992,1.237195781469345,0.005000025033950806,1.0476054243699946
outputs/verification_attacks_facenet/pgd_plain_s20/metadata_targeted_pgd_facenet_adaptive_none_eps0.010_s20.csv,targeted_pgd_facenet_adaptive_none,0.01,0.001,20,True,100,0.0,0.87,0.87,0.87,0.13437566051259636,0.6796884453296661,0.5453127848170698,2.2394072365760804,0.010000020265579224,1.0506592099100078
outputs/verification_attacks_facenet/pgd_plain_s20/metadata_targeted_pgd_facenet_adaptive_none_eps0.020_s20.csv,targeted_pgd_facenet_adaptive_none,0.02,0.001,20,True,100,0.0,1.0,1.0,1.0,0.13437566051259636,0.8511848717927932,0.7168092112801969,3.2564548873901367,0.020000003278255463,1.0451514809499962
