metadata_file,attack,epsilon,alpha,steps,only_initial_rejects,samples,accepted_before_rate,accepted_after_rate,target_accept_rate_after_attack,success_from_reject_rate,avg_similarity_before,avg_similarity_after,avg_similarity_gain,avg_l2,avg_linf,avg_time_sec
outputs/verification_attacks_facenet/fgsm/metadata_targeted_fgsm_facenet_verification_eps0.005.csv,targeted_fgsm_facenet_verification,0.005,0.005,1,True,100,0.0,0.28,0.28,0.28,0.13437566051259636,0.37374190693721177,0.23936624642461538,1.318653542995453,0.005000025033950806,0.09876993027000935
outputs/verification_attacks_facenet/fgsm/metadata_targeted_fgsm_facenet_verification_eps0.010.csv,targeted_fgsm_facenet_verification,0.01,0.01,1,True,100,0.0,0.55,0.55,0.55,0.13437566051259636,0.4924646925926208,0.35808903208002446,2.628370180130005,0.010000020265579224,0.09825846643999966
outputs/verification_attacks_facenet/fgsm/metadata_targeted_fgsm_facenet_verification_eps0.020.csv,targeted_fgsm_facenet_verification,0.02,0.02,1,True,100,0.0,0.77,0.77,0.77,0.13437566051259636,0.5892784668505192,0.4549028063379228,5.232496075630188,0.02000001072883606,0.09986818074000439
outputs/verification_attacks_facenet/fgsm/metadata_targeted_fgsm_facenet_verification_eps0.030.csv,targeted_fgsm_facenet_verification,0.03,0.03,1,True,100,0.0,0.85,0.85,0.85,0.13437566051259636,0.6203020839393139,0.48592642342671755,7.818736267089844,0.030000001192092896,0.09714678253000215
