defense,epsilon,samples,n_attack_success,attack_success_rate,n_defense_success,defense_success_rate,n_still_attack,still_attack_rate,avg_sim_after_attack,avg_sim_after_defense,avg_sim_drop,avg_defense_time_sec
bitdepth,all,212,171,0.8066,40,0.1887,131,0.6179,0.573757,0.52466,0.049097,0.0007
bitdepth,0.005,45,36,0.8,12,0.2667,24,0.5333,0.53398,0.497855,0.036125,0.0008
bitdepth,0.01,167,135,0.8084,28,0.1677,107,0.6407,0.584475,0.531883,0.052592,0.0007
jpeg,all,212,171,0.8066,0,0.0,171,0.8066,0.573757,0.573559,0.000198,0.0013
jpeg,0.005,45,36,0.8,0,0.0,36,0.8,0.53398,0.533819,0.000161,0.0013
jpeg,0.01,167,135,0.8084,0,0.0,135,0.8084,0.584475,0.584267,0.000208,0.0013
smoothing,all,212,171,0.8066,167,0.7877,4,0.0189,0.573757,0.19994,0.373817,0.0014
smoothing,0.005,45,36,0.8,35,0.7778,1,0.0222,0.53398,0.222332,0.311648,0.0014
smoothing,0.01,167,135,0.8084,132,0.7904,3,0.018,0.584475,0.193907,0.390568,0.0014
