metadata_file,defense,radius,threshold,evaluated,raw_success,defended_accept,bypass_rate,defense_success,avg_sim_raw,avg_sim_defended
outputs/verification_attacks_facenet/pgd_plain_s20/metadata_targeted_pgd_facenet_adaptive_none_eps0.005_s20.csv,smoothing,3.0,0.479662,100,57,2,0.0351,0.9649,0.485298,0.157476
outputs/verification_attacks_facenet/pgd_plain_s20/metadata_targeted_pgd_facenet_adaptive_none_eps0.010_s20.csv,smoothing,3.0,0.479662,100,86,2,0.0233,0.9767,0.675067,0.1749
outputs/verification_attacks_facenet/pgd_plain_s20/metadata_targeted_pgd_facenet_adaptive_none_eps0.020_s20.csv,smoothing,3.0,0.479662,100,100,4,0.04,0.96,0.861491,0.213801
